# Calibrator v0.9e
# (by Stefan.Manegold@cwi.nl, http://www.cwi.nl/~manegold/)
000000003 033333.3  016448 000048.2 00012 000563 005.6 004.1  008256 000024.2 00006 000563 005.6 004.1  004160 000012.2 00003 000562 005.6 004.0  002112 000006.2 00001 000877 008.8 006.3  001088 000003.2 00000 001191 011.9 008.6
000000004 025000.0  016448 000064.2 00016 001191 011.9 008.6  008256 000032.2 00008 001196 012.0 008.6  004160 000016.2 00004 001193 011.9 008.6  002112 000008.2 00002 001191 011.9 008.6  001088 000004.2 00001 001192 011.9 008.6
000000005 020000.0  016448 000080.3 00020 001192 011.9 008.6  008256 000040.3 00010 001191 011.9 008.6  004160 000020.3 00005 001191 011.9 008.6  002112 000010.3 00002 001194 011.9 008.6  001088 000005.3 00001 001192 011.9 008.6
000000006 016666.7  016448 000096.4 00024 001192 011.9 008.6  008256 000048.4 00012 001192 011.9 008.6  004160 000024.4 00006 001193 011.9 008.6  002112 000012.4 00003 001191 011.9 008.6  001088 000006.4 00001 001192 011.9 008.6
000000008 012500.0  016448 000128.5 00032 001192 011.9 008.6  008256 000064.5 00016 001193 011.9 008.6  004160 000032.5 00008 001191 011.9 008.6  002112 000016.5 00004 001192 011.9 008.6  001088 000008.5 00002 001191 011.9 008.6
000000010 010000.0  016448 000160.6 00040 001192 011.9 008.6  008256 000080.6 00020 001191 011.9 008.6  004160 000040.6 00010 001193 011.9 008.6  002112 000020.6 00005 001194 011.9 008.6  001088 000010.6 00002 001191 011.9 008.6
000000012 008333.3  016448 000192.8 00048 001193 011.9 008.6  008256 000096.8 00024 001191 011.9 008.6  004160 000048.8 00012 001191 011.9 008.6  002112 000024.8 00006 001192 011.9 008.6  001088 000012.8 00003 000563 005.6 004.1
000000016 006250.0  016448 000257.0 00064 000563 005.6 004.1  008256 000129.0 00032 000562 005.6 004.0  004160 000065.0 00016 000562 005.6 004.0  002112 000033.0 00008 000562 005.6 004.0  001088 000017.0 00004 000563 005.6 004.1
000000020 005000.0  016448 000321.2 00080 000563 005.6 004.1  008256 000161.2 00040 000563 005.6 004.1  004160 000081.2 00020 000563 005.6 004.1  002112 000041.2 00010 000562 005.6 004.0  001088 000021.2 00005 000563 005.6 004.1
000000024 004166.7  016448 000385.5 00096 000563 005.6 004.1  008256 000193.5 00048 000563 005.6 004.1  004160 000097.5 00024 000563 005.6 004.1  002112 000049.5 00012 000562 005.6 004.0  001088 000025.5 00006 000563 005.6 004.1
000000032 003125.0  016448 000514.0 00128 005899 059.0 042.5  008256 000258.0 00064 005900 059.0 042.5  004160 000130.0 00032 005899 059.0 042.5  002112 000066.0 00016 000563 005.6 004.1  001088 000034.0 00008 000562 005.6 004.0
000000040 002500.0  016448 000642.5 00160 005898 059.0 042.5  008256 000322.5 00080 005899 059.0 042.5  004160 000162.5 00040 005900 059.0 042.5  002112 000082.5 00020 000563 005.6 004.1  001088 000042.5 00010 000562 005.6 004.0
000000048 002083.3  016448 000771.0 00192 005899 059.0 042.5  008256 000387.0 00096 005899 059.0 042.5  004160 000195.0 00048 005900 059.0 042.5  002112 000099.0 00024 000563 005.6 004.1  001088 000051.0 00012 000562 005.6 004.0
000000064 001562.5  016448 001028.0 00257 005899 059.0 042.5  008256 000516.0 00129 005898 059.0 042.5  004160 000260.0 00065 005898 059.0 042.5  002112 000132.0 00033 003340 033.4 024.0  001088 000068.0 00017 000563 005.6 004.1
000000080 001250.0  016448 001285.0 00321 005898 059.0 042.5  008256 000645.0 00161 005899 059.0 042.5  004160 000325.0 00081 005899 059.0 042.5  002112 000165.0 00041 003323 033.2 023.9  001088 000085.0 00021 000563 005.6 004.1
000000096 001041.7  016448 001542.0 00385 005900 059.0 042.5  008256 000774.0 00193 005900 059.0 042.5  004160 000390.0 00097 005899 059.0 042.5  002112 000198.0 00049 003312 033.1 023.8  001088 000102.0 00025 000563 005.6 004.1
000000128 000781.2  016448 002056.0 00514 005898 059.0 042.5  008256 001032.0 00258 005899 059.0 042.5  004160 000520.0 00130 005900 059.0 042.5  002112 000264.0 00066 003340 033.4 024.0  001088 000136.0 00034 001992 019.9 014.3
000000160 000625.0  016448 002570.0 00642 005900 059.0 042.5  008256 001290.0 00322 005900 059.0 042.5  004160 000650.0 00162 006240 062.4 044.9  002112 000330.0 00082 003323 033.2 023.9  001088 000170.0 00042 002009 020.1 014.5
000000192 000520.8  016448 003084.0 00771 005899 059.0 042.5  008256 001548.0 00387 005899 059.0 042.5  004160 000780.0 00195 006506 065.1 046.8  002112 000396.0 00099 003340 033.4 024.0  001088 000204.0 00051 001992 019.9 014.3
000000256 000390.6  016448 004112.0 01028 005900 059.0 042.5  008256 002064.0 00516 005900 059.0 042.5  004160 001040.0 00260 006841 068.4 049.3  002112 000528.0 00132 003340 033.4 024.0  001088 000272.0 00068 001992 019.9 014.3
000000320 000312.5  016448 005140.0 01285 006289 062.9 045.3  008256 002580.0 00645 006094 060.9 043.9  004160 001300.0 00325 006690 066.9 048.2  002112 000660.0 00165 003340 033.4 024.0  001088 000340.0 00085 001992 019.9 014.3
000000384 000260.4  016448 006168.0 01542 006233 062.3 044.9  008256 003096.0 00774 006233 062.3 044.9  004160 001560.0 00390 006559 065.6 047.2  002112 000792.0 00198 004540 045.4 032.7  001088 000408.0 00102 001992 019.9 014.3
000000512 000195.3  016448 008224.0 02056 006159 061.6 044.3  008256 004128.0 01032 006152 061.5 044.3  004160 002080.0 00520 007108 071.1 051.2  002112 001056.0 00264 003347 033.5 024.1  001088 000544.0 00136 001999 020.0 014.4
000000640 000156.2  016448 010280.0 02570 006548 065.5 047.1  008256 005160.0 01290 006473 064.7 046.6  004160 002600.0 00650 007308 073.1 052.6  002112 001320.0 00330 003985 039.9 028.7  001088 000680.0 00170 002505 025.1 018.0
000000768 000130.2  016448 012336.0 03084 006903 069.0 049.7  008256 006192.0 01548 006755 067.5 048.6  004160 003120.0 00780 007464 074.6 053.7  002112 001584.0 00396 004360 043.6 031.4  001088 000816.0 00204 002734 027.3 019.7
000001024 000097.7  016448 016448.0 04112 007094 070.9 051.1  008256 008256.0 02064 007035 070.3 050.7  004160 004160.0 01040 007547 075.5 054.3  002112 002112.0 00528 004687 046.9 033.7  001088 001088.0 00272 002958 029.6 021.3
000001280 000078.1  016448 020560.0 05140 007235 072.3 052.1  008256 010320.0 02580 007193 071.9 051.8  004160 005200.0 01300 007598 076.0 054.7  002112 002640.0 00660 004635 046.4 033.4  001088 001360.0 00340 003031 030.3 021.8
000001536 000065.1  016448 024672.0 06168 007251 072.5 052.2  008256 012384.0 03096 007284 072.8 052.4  004160 006240.0 01560 007562 075.6 054.4  002112 003168.0 00792 004642 046.4 033.4  001088 001632.0 00408 003122 031.2 022.5
000002048 000048.8  016448 032896.0 08224 007284 072.8 052.4  008256 016512.0 04128 007256 072.6 052.2  004160 008320.0 02080 007569 075.7 054.5  002112 004224.0 01056 004645 046.5 033.4  001088 002176.0 00544 003212 032.1 023.1
000002560 000039.1  016448 041120.0 10280 007675 076.8 055.3  008256 020640.0 05160 007288 072.9 052.5  004160 010400.0 02600 007562 075.6 054.4  002112 005280.0 01320 004646 046.5 033.5  001088 002720.0 00680 003245 032.5 023.4
