# Calibrator v0.9e
# (by Stefan.Manegold@cwi.nl, http://www.cwi.nl/~manegold/)
000000003 033333.3  008256 000024.2 00006 000563 005.6 004.1  004160 000012.2 00003 000563 005.6 004.1  002112 000006.2 00001 000563 005.6 004.1  001088 000003.2 00000 000564 005.6 004.1
000000004 025000.0  008256 000032.2 00008 000564 005.6 004.1  004160 000016.2 00004 000563 005.6 004.1  002112 000008.2 00002 000563 005.6 004.1  001088 000004.2 00001 000563 005.6 004.1
000000005 020000.0  008256 000040.3 00010 000564 005.6 004.1  004160 000020.3 00005 000564 005.6 004.1  002112 000010.3 00002 000563 005.6 004.1  001088 000005.3 00001 000563 005.6 004.1
000000006 016666.7  008256 000048.4 00012 000563 005.6 004.1  004160 000024.4 00006 000564 005.6 004.1  002112 000012.4 00003 000564 005.6 004.1  001088 000006.4 00001 000563 005.6 004.1
000000008 012500.0  008256 000064.5 00016 000563 005.6 004.1  004160 000032.5 00008 000563 005.6 004.1  002112 000016.5 00004 000564 005.6 004.1  001088 000008.5 00002 000564 005.6 004.1
000000010 010000.0  008256 000080.6 00020 000564 005.6 004.1  004160 000040.6 00010 000563 005.6 004.1  002112 000020.6 00005 000564 005.6 004.1  001088 000010.6 00002 000564 005.6 004.1
000000012 008333.3  008256 000096.8 00024 000563 005.6 004.1  004160 000048.8 00012 000564 005.6 004.1  002112 000024.8 00006 001093 010.9 007.9  001088 000012.8 00003 000944 009.4 006.8
000000016 006250.0  008256 000129.0 00032 001075 010.8 007.7  004160 000065.0 00016 001234 012.3 008.9  002112 000033.0 00008 001291 012.9 009.3  001088 000017.0 00004 000968 009.7 007.0
000000020 005000.0  008256 000161.2 00040 001104 011.0 007.9  004160 000081.2 00020 001256 012.6 009.0  002112 000041.2 00010 001014 010.1 007.3  001088 000021.2 00005 000899 009.0 006.5
000000024 004166.7  008256 000193.5 00048 000919 009.2 006.6  004160 000097.5 00024 000843 008.4 006.1  002112 000049.5 00012 000977 009.8 007.0  001088 000025.5 00006 000827 008.3 006.0
